채널,상품,주차,매출,수량
옥션,칼마디아K,1주차,3990.0,1.0
옥션,코엔자임Q10,1주차,3990.0,1.0
옥션,코엔자임Q10,1주차,23900.0,2.0
옥션,코엔자임Q10,2주차,35850.0,3.0
옥션,코엔자임Q10,3주차,11950.0,1.0
옥션,코엔자임Q10,2주차,119400.0,6.0
옥션,코엔자임Q10,2주차,23890.0,1.0
옥션,마그네슘,1주차,27930.0,7.0
옥션,마그네슘,2주차,7980.0,2.0
옥션,마그네슘,1주차,19900.0,1.0
옥션,마그네슘,1주차,23890.0,1.0
옥션,마그네슘,2주차,23890.0,1.0
옥션,혈당컷,1주차,35910.0,9.0
옥션,혈당컷,3주차,15960.0,4.0
옥션,혈당컷,2주차,11950.0,1.0
옥션,혈당컷,2주차,21400.0,1.0
옥션,혈당컷,1주차,47780.0,2.0
옥션,혈당컷,2주차,23890.0,1.0
지마켓,세트/기획전,2주차,19900.0,1.0
지마켓,오메가3,2주차,23900.0,2.0
지마켓,오메가3,3주차,11950.0,1.0
지마켓,오메가3,1주차,139300.0,7.0
지마켓,오메가3,2주차,39800.0,2.0
지마켓,오메가3,3주차,39800.0,2.0
지마켓,오메가3,1주차,47780.0,2.0
지마켓,오메가3,2주차,71670.0,3.0
지마켓,루테인,2주차,11950.0,1.0
지마켓,루테인,1주차,47780.0,2.0
지마켓,루테인,2주차,-47780.0,-2.0
지마켓,MSM,2주차,39800.0,2.0
지마켓,올리브오일,3주차,11950.0,1.0
지마켓,올리브오일,1주차,39800.0,2.0
지마켓,올리브오일,2주차,119400.0,6.0
지마켓,올리브오일,3주차,39800.0,2.0
지마켓,올리브오일,2주차,23890.0,1.0
지마켓,올리브오일,3주차,23890.0,1.0
지마켓,멀티비타민,2주차,3990.0,1.0
지마켓,멀티비타민,2주차,11950.0,1.0
지마켓,멀티비타민,1주차,19900.0,1.0
지마켓,멀티비타민,2주차,19900.0,1.0
지마켓,코엔자임Q10,2주차,39900.0,10.0
지마켓,코엔자임Q10,3주차,3990.0,1.0
지마켓,코엔자임Q10,1주차,59700.0,3.0
지마켓,코엔자임Q10,2주차,-19900.0,-1.0
지마켓,코엔자임Q10,3주차,19900.0,1.0
지마켓,코엔자임Q10,1주차,23890.0,1.0
지마켓,코엔자임Q10,2주차,23890.0,1.0
지마켓,코엔자임Q10,3주차,23890.0,1.0
지마켓,마그네슘,3주차,7980.0,2.0
지마켓,마그네슘,3주차,79600.0,4.0
지마켓,혈당컷,1주차,35850.0,3.0
지마켓,혈당컷,2주차,11950.0,1.0
지마켓,혈당컷,1주차,139300.0,7.0
지마켓,혈당컷,2주차,59700.0,3.0
지마켓,혈당컷,3주차,79600.0,4.0
지마켓,혈당컷,1주차,23890.0,1.0
지마켓,혈당컷,2주차,23890.0,1.0
쿠팡,코엔자임Q10,1주차,21400.0,1.0
쿠팡,세트/기획전,1주차,11950.0,1.0
쿠팡,오메가3,1주차,31920.0,8.0
쿠팡,오메가3,1주차,23940.0,3.0
쿠팡,오메가3,1주차,59750.0,5.0
쿠팡,오메가3,1주차,477600.0,24.0
쿠팡,오메가3,1주차,2126210.0,89.0
쿠팡,루테인,1주차,11950.0,1.0
쿠팡,루테인,1주차,23890.0,1.0
쿠팡,멀티비타민,1주차,7980.0,1.0
쿠팡,멀티비타민,1주차,39800.0,2.0
쿠팡,밀크씨슬,1주차,7980.0,1.0
쿠팡,비타민C,1주차,19900.0,1.0
쿠팡,세트/기획전,1주차,11950.0,1.0
쿠팡,올리브오일,1주차,15960.0,2.0
쿠팡,올리브오일,1주차,417900.0,21.0
쿠팡,올리브오일,1주차,334460.0,14.0
쿠팡,칼마디아K,1주차,3990.0,1.0
쿠팡,칼마디아K,1주차,23900.0,2.0
쿠팡,코엔자임Q10,1주차,218950.0,13.0
쿠팡,마그네슘,1주차,71650.0,4.0
쿠팡,혈당컷,1주차,39800.0,2.0
쿠팡,혈당컷,1주차,95560.0,4.0
쿠팡,MSM,2주차,7980.0,1.0
쿠팡,MSM,2주차,15940.0,1.0
쿠팡,MSM,2주차,19900.0,1.0
쿠팡,MSM,2주차,23890.0,1.0
쿠팡,오메가3,2주차,43890.0,11.0
쿠팡,오메가3,2주차,23940.0,3.0
쿠팡,오메가3,2주차,67250.0,5.0
쿠팡,오메가3,2주차,875600.0,44.0
쿠팡,오메가3,2주차,1385620.0,58.0
쿠팡,루테인,2주차,19900.0,1.0
쿠팡,멀티비타민,2주차,7980.0,2.0
쿠팡,비타민C,2주차,7980.0,1.0
쿠팡,비타민C,2주차,19900.0,1.0
쿠팡,비타민C,2주차,25390.0,1.0
쿠팡,올리브오일,2주차,3990.0,1.0
쿠팡,올리브오일,2주차,7980.0,1.0
쿠팡,올리브오일,2주차,14450.0,1.0
쿠팡,올리브오일,2주차,278600.0,14.0
쿠팡,올리브오일,2주차,167230.0,7.0
쿠팡,칼마디아K,2주차,39800.0,2.0
쿠팡,칼마디아K,2주차,23890.0,1.0
쿠팡,코엔자임Q10,2주차,230900.0,11.0
쿠팡,비타민C,2주차,11950.0,1.0
쿠팡,마그네슘,2주차,39850.0,5.0
쿠팡,혈당컷,2주차,3990.0,1.0
쿠팡,혈당컷,2주차,7980.0,1.0
쿠팡,혈당컷,2주차,39800.0,2.0
쿠팡,혈당컷,2주차,71670.0,3.0
쿠팡,마그네슘,3주차,21400.0,1.0
쿠팡,오메가3,3주차,31920.0,8.0
쿠팡,오메가3,3주차,7980.0,1.0
쿠팡,오메가3,3주차,1492500.0,75.0
쿠팡,오메가3,3주차,477800.0,20.0
쿠팡,루테인,3주차,19900.0,1.0
쿠팡,멀티비타민,3주차,39800.0,2.0
쿠팡,밀크씨슬,3주차,47780.0,2.0
쿠팡,오메가3,3주차,25390.0,1.0
쿠팡,세트/기획전,3주차,11950.0,1.0
쿠팡,올리브오일,3주차,7980.0,1.0
쿠팡,올리브오일,3주차,14450.0,1.0
쿠팡,올리브오일,3주차,21400.0,1.0
쿠팡,올리브오일,3주차,298500.0,15.0
쿠팡,올리브오일,3주차,334460.0,14.0
쿠팡,코엔자임Q10,3주차,234840.0,13.0
쿠팡,마그네슘,3주차,27880.0,3.0
쿠팡,혈당컷,3주차,47880.0,12.0
쿠팡,혈당컷,3주차,11950.0,1.0
쿠팡,혈당컷,3주차,19900.0,1.0
쿠팡,혈당컷,3주차,23890.0,1.0
GS SHOP,세트/기획전,1주차,12367.0,1.0
GS SHOP,코엔자임Q10,1주차,363411.0,33.0
GS SHOP,코엔자임Q10,1주차,218697.0,11.0
GS SHOP,코엔자임Q10,1주차,344654.0,12.0
GS SHOP,MSM,1주차,135342.0,6.0
GS SHOP,루테인,1주차,201692.0,16.0
GS SHOP,멀티비타민,1주차,122056.0,8.0
GS SHOP,밀크씨슬,1주차,163391.0,13.0
GS SHOP,비타민C,1주차,80038.0,4.0
GS SHOP,오메가3,1주차,926708.0,54.0
GS SHOP,올리브오일,1주차,3018873.0,259.0
GS SHOP,칼마디아K,1주차,83589.0,7.0
GS SHOP,혈당컷,1주차,578003.0,34.0
GS SHOP,기타/PB,1주차,28397.0,1.0
GS SHOP,기타/PB,1주차,28397.0,1.0
GS SHOP,기타/PB,1주차,85191.0,3.0
GS SHOP,세트/기획전,1주차,10877.0,1.0
GS SHOP,세트/기획전,2주차,12367.0,1.0
GS SHOP,코엔자임Q10,2주차,428971.0,38.0
GS SHOP,코엔자임Q10,2주차,145529.0,7.0
GS SHOP,코엔자임Q10,2주차,324037.0,11.0
GS SHOP,MSM,2주차,166607.0,11.0
GS SHOP,루테인,2주차,177176.0,16.0
GS SHOP,멀티비타민,2주차,132250.0,10.0
GS SHOP,밀크씨슬,2주차,171807.0,11.0
GS SHOP,비타민C,2주차,12367.0,1.0
GS SHOP,오메가3,2주차,853203.0,64.0
GS SHOP,올리브오일,2주차,1152592.0,91.0
GS SHOP,칼마디아K,2주차,159069.0,11.0
GS SHOP,혈당컷,2주차,530426.0,28.0
GS SHOP,기타/PB,2주차,28397.0,1.0
GS SHOP,세트/기획전,2주차,641743.0,59.0
GS SHOP,세트/기획전,3주차,21754.0,2.0
GS SHOP,코엔자임Q10,3주차,348064.0,32.0
GS SHOP,코엔자임Q10,3주차,98185.0,5.0
GS SHOP,코엔자임Q10,3주차,369161.0,13.0
GS SHOP,MSM,3주차,39274.0,2.0
GS SHOP,루테인,3주차,161038.0,14.0
GS SHOP,멀티비타민,3주차,108770.0,10.0
GS SHOP,밀크씨슬,3주차,117530.0,10.0
GS SHOP,비타민C,3주차,32631.0,3.0
GS SHOP,오메가3,3주차,693062.0,46.0
GS SHOP,올리브오일,3주차,611813.0,49.0
GS SHOP,칼마디아K,3주차,184909.0,17.0
GS SHOP,혈당컷,3주차,248346.0,18.0
GS SHOP,세트/기획전,3주차,282802.0,26.0
GS SHOP,루테인,4주차,89081.0,3.0
GS SHOP,세트/기획전,4주차,10877.0,1.0
GS SHOP,코엔자임Q10,4주차,337485.0,30.0
GS SHOP,코엔자임Q10,4주차,58911.0,3.0
GS SHOP,코엔자임Q10,4주차,269188.0,9.0
GS SHOP,MSM,4주차,61028.0,4.0
GS SHOP,루테인,4주차,77629.0,7.0
GS SHOP,멀티비타민,4주차,198375.0,15.0
GS SHOP,밀크씨슬,4주차,166427.0,11.0
GS SHOP,비타민C,4주차,99958.0,4.0
GS SHOP,오메가3,4주차,1245890.0,80.0
GS SHOP,올리브오일,4주차,545081.0,33.0
GS SHOP,칼마디아K,4주차,103909.0,7.0
GS SHOP,혈당컷,4주차,604679.0,42.0
GS SHOP,기타,4주차,28397.0,1.0
GS SHOP,기타/PB,4주차,28397.0,1.0
GS SHOP,기타/PB,4주차,85191.0,3.0
GS SHOP,세트/기획전,4주차,69732.0,6.0
11번가,올리브오일,4주차,11970.0,3.0
11번가,올리브오일,4주차,19950.0,1.0
11번가,코엔자임Q10,4주차,95760.0,8.0
11번가,코엔자임Q10,4주차,19950.0,1.0
11번가,코엔자임Q10,4주차,47880.0,2.0
11번가,혈당컷,4주차,39900.0,10.0
옥션,세트/기획전,4주차,19900.0,1.0
옥션,오메가3,4주차,23940.0,6.0
옥션,오메가3,4주차,19900.0,1.0
옥션,오메가3,4주차,23890.0,1.0
옥션,루테인,4주차,3990.0,1.0
옥션,밀크씨슬,4주차,23940.0,6.0
옥션,밀크씨슬,4주차,23900.0,2.0
옥션,밀크씨슬,4주차,21400.0,1.0
옥션,밀크씨슬,4주차,23890.0,1.0
옥션,세트/기획전,4주차,11950.0,1.0
옥션,MSM,4주차,11970.0,3.0
옥션,MSM,4주차,23890.0,1.0
옥션,올리브오일,4주차,19950.0,5.0
옥션,멀티비타민,4주차,11950.0,1.0
옥션,칼마디아K,4주차,7980.0,2.0
옥션,코엔자임Q10,4주차,3990.0,1.0
옥션,마그네슘,4주차,11950.0,1.0
옥션,마그네슘,4주차,19900.0,1.0
옥션,혈당컷,4주차,19950.0,5.0
옥션,혈당컷,4주차,11950.0,1.0
지마켓,세트/기획전,4주차,39800.0,2.0
지마켓,오메가3,4주차,19950.0,5.0
지마켓,오메가3,4주차,11950.0,1.0
지마켓,오메가3,4주차,19900.0,1.0
지마켓,루테인,4주차,11950.0,1.0
지마켓,밀크씨슬,4주차,47880.0,12.0
지마켓,밀크씨슬,4주차,11950.0,1.0
지마켓,비타민C,4주차,11950.0,1.0
지마켓,세트/기획전,4주차,11950.0,1.0
지마켓,세트/기획전,4주차,23900.0,2.0
지마켓,올리브오일,4주차,11950.0,1.0
지마켓,올리브오일,4주차,59700.0,3.0
지마켓,올리브오일,4주차,47780.0,2.0
지마켓,멀티비타민,4주차,23900.0,2.0
지마켓,칼마디아K,4주차,11950.0,1.0
지마켓,코엔자임Q10,4주차,11950.0,1.0
지마켓,코엔자임Q10,4주차,99500.0,5.0
지마켓,마그네슘,4주차,11950.0,1.0
지마켓,마그네슘,4주차,59700.0,3.0
지마켓,혈당컷,4주차,7980.0,2.0
지마켓,혈당컷,4주차,47800.0,4.0
지마켓,혈당컷,4주차,139300.0,7.0
지마켓,혈당컷,4주차,25390.0,1.0
지마켓,혈당컷,4주차,95560.0,4.0
쿠팡,MSM,4주차,15940.0,1.0
쿠팡,오메가3,4주차,39900.0,10.0
쿠팡,오메가3,4주차,14450.0,1.0
쿠팡,오메가3,4주차,2885500.0,145.0
쿠팡,오메가3,4주차,334460.0,14.0
쿠팡,멀티비타민,4주차,15960.0,2.0
쿠팡,밀크씨슬,4주차,19900.0,1.0
쿠팡,밀크씨슬,4주차,47780.0,2.0
