채널,상품명,상품,주차,매출,수량
네이버,"클라리온 유기농 올리브오일 올리브유 캡슐 엑스트라버진 30캡슐, 3개",올리브오일,3주차,154350.0,13.0
네이버,"클라리온 유기농 올리브오일 올리브유 캡슐 엑스트라버진 30캡슐, 5개",올리브오일,1주차,251570.0,16.0
네이버,"클라리온 유기농 올리브오일 올리브유 캡슐 엑스트라버진 30캡슐, 5개",올리브오일,2주차,273700.0,15.0
네이버,"클라리온 유기농 올리브오일 올리브유 캡슐 엑스트라버진 30캡슐, 5개",올리브오일,3주차,318400.0,17.0
네이버,"클라리온 유기농 올리브오일 올리브유 캡슐 엑스트라버진 30캡슐, 6개",올리브오일,1주차,1215350.0,59.0
네이버,"클라리온 유기농 올리브오일 올리브유 캡슐 엑스트라버진 30캡슐, 6개",올리브오일,2주차,495690.0,22.0
네이버,"클라리온 유기농 올리브오일 올리브유 캡슐 엑스트라버진 30캡슐, 6개",올리브오일,3주차,540470.0,23.0
네이버,클라리온 직장인 존버템 3종 세트 (밀크씨슬+ 오메가3+ 루테인),세트/기획전,1주차,23900.0,2.0
네이버,클라리온 집콕러 활력템 3종 세트 (칼마디아K + 비타민C + 멀티비타민),세트/기획전,1주차,11590.0,1.0
네이버,"클라리온 칼마디아K 칼슘 마그네슘 비타민D 아연 비타민K 망간 30정, 1개",칼마디아K,1주차,15960.0,4.0
네이버,"클라리온 칼마디아K 칼슘 마그네슘 비타민D 아연 비타민K 망간 30정, 1개",칼마디아K,2주차,23940.0,6.0
네이버,"클라리온 칼마디아K 칼슘 마그네슘 비타민D 아연 비타민K 망간 30정, 1개",칼마디아K,3주차,3990.0,1.0
네이버,"클라리온 칼마디아K 칼슘 마그네슘 비타민D 아연 비타민K 망간 30정, 3개",칼마디아K,1주차,35510.0,3.0
네이버,"클라리온 칼마디아K 칼슘 마그네슘 비타민D 아연 비타민K 망간 30정, 3개",칼마디아K,2주차,71700.0,6.0
네이버,"클라리온 칼마디아K 칼슘 마그네슘 비타민D 아연 비타민K 망간 30정, 3개",칼마디아K,3주차,23900.0,2.0
네이버,"클라리온 칼마디아K 칼슘 마그네슘 비타민D 아연 비타민K 망간 30정, 6개",칼마디아K,1주차,63860.0,3.0
네이버,"클라리온 칼마디아K 칼슘 마그네슘 비타민D 아연 비타민K 망간 30정, 6개",칼마디아K,2주차,46780.0,2.0
네이버,"클라리온 칼마디아K 칼슘 마그네슘 비타민D 아연 비타민K 망간 30정, 6개",칼마디아K,3주차,89780.0,6.0
네이버,"클라리온 코엔자임 Q10 코큐텐 비타민E 셀렌 항산화 혈압건강 30캡슐, 1개",코엔자임Q10,1주차,55490.0,14.0
네이버,"클라리온 코엔자임 Q10 코큐텐 비타민E 셀렌 항산화 혈압건강 30캡슐, 1개",코엔자임Q10,2주차,47880.0,12.0
네이버,"클라리온 코엔자임 Q10 코큐텐 비타민E 셀렌 항산화 혈압건강 30캡슐, 3개",코엔자임Q10,2주차,23900.0,2.0
네이버,"클라리온 코엔자임 Q10 코큐텐 비타민E 셀렌 항산화 혈압건강 30캡슐, 3개",코엔자임Q10,3주차,47800.0,4.0
네이버,"클라리온 코엔자임 Q10 코큐텐 비타민E 셀렌 항산화 혈압건강 30캡슐, 5개",코엔자임Q10,1주차,18230.0,1.0
네이버,"클라리온 코엔자임 Q10 코큐텐 비타민E 셀렌 항산화 혈압건강 30캡슐, 5개",코엔자임Q10,2주차,19900.0,1.0
네이버,"클라리온 코엔자임 Q10 코큐텐 비타민E 셀렌 항산화 혈압건강 30캡슐, 5개",코엔자임Q10,3주차,19900.0,1.0
네이버,"클라리온 코엔자임 Q10 코큐텐 비타민E 셀렌 항산화 혈압건강 30캡슐, 6개",코엔자임Q10,1주차,231820.0,11.0
네이버,"클라리온 코엔자임 Q10 코큐텐 비타민E 셀렌 항산화 혈압건강 30캡슐, 6개",코엔자임Q10,2주차,323460.0,15.0
네이버,"클라리온 코엔자임 Q10 코큐텐 비타민E 셀렌 항산화 혈압건강 30캡슐, 6개",코엔자임Q10,3주차,211010.0,12.0
네이버,"클라리온 트리플 마그네슘 400 30정, 1개",마그네슘,1주차,31720.0,8.0
네이버,"클라리온 트리플 마그네슘 400 30정, 1개",마그네슘,2주차,91770.0,23.0
네이버,"클라리온 트리플 마그네슘 400 30정, 1개",마그네슘,3주차,23940.0,6.0
네이버,"클라리온 트리플 마그네슘 400 30정, 3개",마그네슘,1주차,11950.0,1.0
네이버,"클라리온 트리플 마그네슘 400 30정, 3개",마그네슘,2주차,47800.0,4.0
네이버,"클라리온 트리플 마그네슘 400 30정, 3개",마그네슘,3주차,35850.0,3.0
네이버,"클라리온 트리플 마그네슘 400 30정, 5개",마그네슘,1주차,18230.0,1.0
네이버,"클라리온 트리플 마그네슘 400 30정, 5개",마그네슘,2주차,139300.0,7.0
네이버,"클라리온 트리플 마그네슘 400 30정, 5개",마그네슘,3주차,99500.0,6.0
네이버,"클라리온 트리플 마그네슘 400 30정, 6개",마그네슘,1주차,186580.0,9.0
네이버,"클라리온 트리플 마그네슘 400 30정, 6개",마그네슘,2주차,255890.0,11.0
네이버,"클라리온 트리플 마그네슘 400 30정, 6개",마그네슘,3주차,307570.0,14.0
네이버,클라리온 항산화 코어템 3종 세트(코큐텐+비타민C+혈당컷 다이어트),세트/기획전,1주차,11950.0,1.0
네이버,"클라리온 혈당컷 다이어트 녹차 카테킨 바나바잎 30정, 1개",혈당컷,1주차,110320.0,30.0
네이버,"클라리온 혈당컷 다이어트 녹차 카테킨 바나바잎 30정, 1개",혈당컷,2주차,106730.0,27.0
네이버,"클라리온 혈당컷 다이어트 녹차 카테킨 바나바잎 30정, 1개",혈당컷,3주차,23940.0,6.0
네이버,"클라리온 혈당컷 다이어트 녹차 카테킨 바나바잎 30정, 3개",혈당컷,1주차,82650.0,7.0
